195.9	191.09	187.95	187.82	187.74	187.74	187.22	187.82	186.47	186.47	177.25	168.5	173	165.89	179.73	188.06	193.67	213.36	229.99	243.42	235	203.25	190.85	187.28	2023-01-01
187.27	187.2	180	180	185.89	185.89	198.85	202.72	213.36	203.99	196.23	NA	NA	NA	195.74	199.09	206.21	262	247	250	210.95	199.09	194.47	185	2023-01-02
170.77	148.89	120	115	113.63385	148.89	191.58	191.63	199.74	198.49	191.58	180.2	175	174.76	180.2	190	194.9	200.38	200	199.74	195.02	189.89	173.57	149.99	2023-01-03
121.5	119.22	100	123.87	128	135	171.58	190	217.72	191.22	183.83	173.5	169.41	172	183.57	191.46	200.45	211.77	215	211.6	200	190.06	179.99	137.89782	2023-01-04
150.98	123	107	100	107.4	137.4	188.16	200.35	227	242.65	192.94	184.38	165	165.1	184.52	199.35	234.27	249.99	239.99	248.8	200.01	192.94	184.99	160.86	2023-01-05
173.13	170.77	160	150	152.1	155	172.8	174.6	174.34	174.14	156.68	147.6	145.5	135.45	149.99	173.97	179.6	211.85	226.72	249	219.99	188.09	175.74	164.2	2023-01-06
176.66	174.01	174.01	173.05	173.03	174.01	179.55	186.67	192.82	206.09	186.39	178.54	165	163.94101	177.44	182.11	NA	NA	NA	NA	NA	NA	178.54	180	2023-01-07
164.87	155.73	150	150	152.63	154.21	165	170.5	170.5	170.14	165	150	160	152.39915	165	177.38	176.99	178.19	181.87	185.48	180.56	170.5	149.81	146	2023-01-08
164.67	150	111	85	73.71	111	140.54677	185.78	195	193.39	NA	NA	173.16	173.77309	178.78798	NA	NA	NA	NA	NA	NA	NA	NA	NA	2023-01-09
NA	NA	NA	NA	NA	108.60482	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	143	2023-01-10
128.14	100	100	100	105	131	190	208.56	226.25	NA	NA	NA	NA	NA	190.5	NA	226.11	254.17	217.78	214.93	206.5	205	194.5	186.54	2023-01-11
160.72	150.07868	131	129.2	133.5	151.5	180.1	192	223.51	207.96	189.99	181.1	174.62	175.16	179.5	187.7	198.08	230.89	200.15	195.8	185.5	181.38	177.5	172.5	2023-01-12
172.34	169.56	169.42	156.74	163.5	172.99	185.01	229.16	295	254.55996	206.24	NA	185	185	188.23	195.82	210	228.65	207.43	200	188.23	180	175	171.77	2023-01-13
157.8	147.8	141	140.48	145.16	150	167.91	178.78	180.2	179.85	167.91	NA	125.91	NA	135.85233	165	175.17	182.71	180.2	185	180.1	178.69	170.48	167.91	2023-01-14
155.6	146.3	137.06	130	130.6	130	146.76	148.4	148.4	149	148.4	141.33	NA	NA	NA	NA	163.11	167.91	169.36	169.51	167.91	164.12	148.4	115	2023-01-15
